,EPOCH,BATCH_SIZE,LR,N_HIDDEN_UNITS,NUM_LAYERS,data_used_n,min_val_loss_id,min_val_loss,test_mse,train_loss_list,val_loss_list
0,100,2500,0.01,24,1,1000000,95,0.3123221218585968,1.6910934070751404,"[0.5240728344236102, 0.43094971637640683, 0.41435860613627096, 0.4026978360755103, 0.39208647858883655, 0.3782639287944351, 0.3672961096146277, 0.3614329408322062, 0.35659945857312, 0.3532451926597527, 0.3491250194076981, 0.34643183377172265, 0.34355643748172693, 0.34206123080636774, 0.34031000595007627, 0.3384298897215298, 0.3373054458094495, 0.336475588700601, 0.335990229302219, 0.335221956883158, 0.33381455476794925, 0.3339420832693577, 0.3327752241598708, 0.3323371206543275, 0.33175565355590414, 0.33142639861575196, 0.3307091231324843, 0.32985929027199745, 0.3294462803219046, 0.3293852144054004, 0.3282983617058822, 0.3282462938555649, 0.32820864154824186, 0.32686505232538493, 0.3266656627612455, 0.32602356571171964, 0.32618008639131274, 0.3254941784377609, 0.32511276081204415, 0.3247097015380859, 0.32406391368380616, 0.3237712476402521, 0.32245099757398876, 0.32143104619213514, 0.3210492416151932, 0.3199404370039701, 0.31941666235881194, 0.31900915487536363, 0.31808960373912537, 0.3180021055042744, 0.31749336208615986, 0.3171244994870254, 0.3171405111040388, 0.31649346724152566, 0.3161153537354299, 0.3159627137439592, 0.3154016253139291, 0.31565312535635065, 0.31512810944446495, 0.31472863746540886, 0.3151290779667241, 0.3148380306682416, 0.31419056371918747, 0.3140575685671398, 0.31381728702357836, 0.31401663619492737, 0.31405573726764746, 0.313219034246036, 0.3131698512605258, 0.3129122919802155, 0.31339689530432224, 0.3130995522120169, 0.31292835170669214, 0.31302574809108463, 0.31226385587028094, 0.3130853924900293, 0.31255320544753756, 0.3125896779554231, 0.312272784113884, 0.3126592732965946, 0.31215247469288965, 0.3120902977883816, 0.31229269610983984, 0.31192922214312213, 0.3117528976074287, 0.3120114404708147, 0.31160074115863867, 0.31153588608971666, 0.31168600022792814, 0.3111755519573178, 0.3117407207510301, 0.31137342261416573, 0.31118452548980713, 0.3116298094391823, 0.3112698174480881, 0.3115295003567423, 0.31086852816598753, 0.31102410666644575, 0.3118485669472388, 0.3111933041896139]","[0.44679274956385295, 0.4182664265235265, 0.40642240941524505, 0.3996734082698822, 0.3857986559470495, 0.372911137342453, 0.36484088798364006, 0.36236460506916046, 0.36653452515602114, 0.35253619054953256, 0.3503712460398674, 0.3457579419016838, 0.3442035933335622, 0.3450899884104729, 0.34344515899817146, 0.34008316497008007, 0.33777865866820017, 0.33871250798304875, 0.33551804572343824, 0.3360070819656054, 0.3375193471709887, 0.33554654717445376, 0.33759210308392845, 0.3341269433498383, 0.33312683751185734, 0.339409971733888, 0.3323384086290995, 0.3339233140150706, 0.33318144728740057, 0.3307700569430987, 0.3387715588013331, 0.33916977296272915, 0.3280034656325976, 0.3276930809020996, 0.3286884764830271, 0.32934021949768066, 0.332679716249307, 0.32757783283789954, 0.33211222489674885, 0.3261109342177709, 0.32760286182165144, 0.32651153604189553, 0.3233933473626773, 0.32312218099832535, 0.32154418726762135, 0.32342385947704316, 0.31968881487846373, 0.31897092014551165, 0.3210849290092786, 0.3176566670338313, 0.31768960803747176, 0.3169862498839696, 0.3220273916920026, 0.31841226915518445, 0.31980769087870914, 0.3174354538321495, 0.31886008332173027, 0.32225753366947174, 0.3177605534593264, 0.3173012599349022, 0.3170416404803594, 0.31469220370054246, 0.3138790731628736, 0.3145542840162913, 0.31553022464116415, 0.3273692746957143, 0.3148037925362587, 0.313910581668218, 0.31689827094475426, 0.3153620551029841, 0.3175622269511223, 0.3151296009620031, 0.3139601687590281, 0.3159714455405871, 0.3149260342121124, 0.31461209108432137, 0.31305694778760274, 0.3140174100796382, 0.3170721193154653, 0.3154301712910334, 0.3146049271027247, 0.3149295503894488, 0.31489195078611376, 0.3168527046839396, 0.31345490912596385, 0.31339001655578613, 0.312434558570385, 0.3124898667136828, 0.3140397235751152, 0.31575763821601865, 0.3123782624801, 0.3131285091241201, 0.31422831416130065, 0.3141787603497505, 0.3129909490545591, 0.3123221218585968, 0.3142319252093633, 0.3149068494637807, 0.3147147317727407, 0.3131150017182032]"
0,100,2500,0.01,28,1,1000000,97,0.30099451591571175,1.6439029572606048,"[0.5424640111625194, 0.43783461462174145, 0.4161035078976836, 0.40649773286921637, 0.39538153181118624, 0.3774788229593209, 0.35937813073396685, 0.35113132867429936, 0.34517687612346243, 0.3411963877401182, 0.33712908077452863, 0.3330202952027321, 0.32998083079499857, 0.32804393023252487, 0.3249382379331759, 0.32223688390638144, 0.32237684976841724, 0.31995913966425826, 0.3200091330600636, 0.3182128278804677, 0.31739282932664664, 0.3161107299583299, 0.3154311761792217, 0.3147517964243889, 0.31405087885047706, 0.313868682246123, 0.3131116568510022, 0.31276052578219343, 0.31248313124690735, 0.31147477493754455, 0.3116065715572664, 0.31108612311737877, 0.3104863639388766, 0.3100153561681509, 0.31028891072741577, 0.3093417541789157, 0.3095012698854719, 0.3090563999755042, 0.3087772840367896, 0.30861166401633194, 0.3083698001291071, 0.30885132678917476, 0.3082756099424192, 0.3077577799026455, 0.30779544663216385, 0.30770445120121753, 0.3076001589319536, 0.307139347919396, 0.3069064608109849, 0.3067102209797927, 0.30659808234444685, 0.30658213011920454, 0.3060044069907495, 0.3065337177366018, 0.30594802078391825, 0.3061501193791628, 0.3056072235107422, 0.3055508161229747, 0.30533008607370515, 0.3057077445622001, 0.3052676974130528, 0.3052106880183731, 0.3054269750735589, 0.3046561675412314, 0.30457847139665056, 0.3050016125398023, 0.3049329298415354, 0.3039721350052527, 0.30416949306215557, 0.3039048896836383, 0.30428247590150154, 0.30405595212110453, 0.3040931251964399, 0.30374597018318517, 0.30344974659383295, 0.3033259627010141, 0.3033785768917629, 0.30382200426289013, 0.30303699294371267, 0.3031222107154982, 0.3025891018765313, 0.30235628906105244, 0.30245178868728023, 0.3024931270096983, 0.3023240878113678, 0.3023546012384551, 0.3019651727484805, 0.3020533101899283, 0.3017899040132761, 0.3017720007470676, 0.3019932298255818, 0.30158483891614846, 0.30129366666078566, 0.3013113116047212, 0.3013185473957232, 0.3011608683105026, 0.3011348686580147, 0.3009220670376505, 0.3010829501918384, 0.30040783589439735]","[0.45524368633826573, 0.42641078531742094, 0.4118476023276647, 0.4034883971015612, 0.38815911759932836, 0.3675491516788801, 0.3529056280851364, 0.347830035785834, 0.34954758634169897, 0.33949423183997474, 0.33493412137031553, 0.3408353701233864, 0.327823369204998, 0.3270981624722481, 0.3282570218046506, 0.322512989739577, 0.32153425316015877, 0.32706906547149023, 0.3213291476170222, 0.3230640898148219, 0.32072317103544873, 0.3159806023041407, 0.31494899143775307, 0.314484470585982, 0.3159619684020678, 0.315119198958079, 0.31283253729343413, 0.311960876484712, 0.3126600975791613, 0.3125199854373932, 0.31282691458861034, 0.3109587788581848, 0.3128320395946503, 0.31303414901097615, 0.3117749735713005, 0.3132411117355029, 0.3128891328970591, 0.32589078744252525, 0.3108466883500417, 0.3093637173374494, 0.31365891893704734, 0.3136346310377121, 0.325964181125164, 0.30778717597325644, 0.30846470296382905, 0.30901796768109, 0.30932126690944034, 0.3080366273721059, 0.3091983174284299, 0.31252652605374653, 0.30824645012617113, 0.3081823651989301, 0.30800469517707824, 0.30676186780134834, 0.30750131656726204, 0.30849565664927164, 0.30864427040020626, 0.3080502505103747, 0.30646272947390873, 0.3057688613732656, 0.3060584843158722, 0.305449257294337, 0.30624383787314097, 0.30568857689698536, 0.3062644695242246, 0.30910518765449524, 0.3059692978858948, 0.3036278153459231, 0.30734121551116306, 0.3044982239603996, 0.3107869227727254, 0.3059346576531728, 0.30681113600730897, 0.30480325520038604, 0.3050762191414833, 0.303752434750398, 0.3049875016013781, 0.3037625640630722, 0.30481876581907275, 0.30343442112207414, 0.3069911127289136, 0.3031997963786125, 0.30306121657292046, 0.30471927920977276, 0.3027582983175913, 0.3055826197067896, 0.30197282483180365, 0.3037805234392484, 0.30156415899594624, 0.3031625802318255, 0.3040616760651271, 0.3060702785849571, 0.3057788913448652, 0.30514840930700304, 0.30439509203036624, 0.3028182273109754, 0.3021905332803726, 0.30099451591571175, 0.309851078192393, 0.3038251688083013]"
