,EPOCH,BATCH_SIZE,LR,N_HIDDEN_UNITS,min_val_loss_id,min_val_loss,min_test_mse_id,min_test_mse,train_loss_list,val_loss_list,test_mse_list
0,30,10,0.0001,16,27,0.4796818106869857,27,2.620060131912392,"[0.9533509739169053, 0.6356740801355668, 0.5977076859825424, 0.5792773947332587, 0.5678133614121803, 0.5541377272297229, 0.5393147564626166, 0.5213339856745941, 0.5045434209970491, 0.49739631071686746, 0.49175697273707814, 0.48867104743740386, 0.48643013330708657, 0.48474023394818816, 0.48294775880873203, 0.48342355346839344, 0.48182446005621127, 0.4819931672247393, 0.4803518563934735, 0.48019956689327953, 0.4777551248243877, 0.47888418744717326, 0.47535312833796656, 0.47548538892796, 0.4755104045569897, 0.47565668831978525, 0.475219752099365, 0.4737707740919931, 0.4749489953262465, 0.4722736263248537]","[0.7327100193500519, 0.6130405964205662, 0.5904041700810194, 0.5795234420895576, 0.5653374599665404, 0.5571861888219913, 0.5317125898351271, 0.5132299411296845, 0.5055895234396061, 0.49329744435846806, 0.5199733538304766, 0.49090627327561376, 0.488565624418358, 0.4932144648085038, 0.4925408848375082, 0.4872419499978423, 0.4916237725069125, 0.48702764096359413, 0.49300105032821495, 0.49399810150265694, 0.4833300297955672, 0.4835130091259877, 0.48600560632844764, 0.513365400408705, 0.482457853530844, 0.48280087697009244, 0.48467082031071185, 0.4796818106869857, 0.48319566880663234, 0.4834331594159206]","[4.034210579930938, 3.3920734448772163, 3.2256891976757727, 3.152103544461487, 3.0785140334848244, 3.0126257955005338, 2.903995941978336, 2.8233374993653255, 2.767768429753681, 2.7242998437362353, 2.8878366327901848, 2.6944949709097132, 2.6857581264918355, 2.705494713021936, 2.694063569792113, 2.6741363607287756, 2.7002725829364533, 2.6649960012296514, 2.694187859250577, 2.6860070016702173, 2.64699733668195, 2.6468934956463728, 2.6550029551532877, 2.7990782470808107, 2.6372904657843574, 2.6423023459734387, 2.6405456687433064, 2.620060131912392, 2.6384341885201286, 2.637130419016732]"
1,30,10,0.0001,24,27,0.4826369820535183,27,2.675334937248681,"[0.8808623490003603, 0.6136199258121529, 0.5389833725669554, 0.5053269409281866, 0.49568406399871623, 0.4933038220661027, 0.4932681877166033, 0.492076472693256, 0.4894144600895899, 0.49034007643482513, 0.48882660420877594, 0.48941303116402457, 0.4870484382047185, 0.4870171434139567, 0.48646401450836235, 0.486266226417252, 0.48578129404889686, 0.4862489127367735, 0.4853830560616085, 0.48451155707772287, 0.48542195498411145, 0.4851361393689045, 0.4836803428589233, 0.48422117953321764, 0.4841438430760588, 0.4837948094122112, 0.48424675145851714, 0.48317211262881754, 0.48307430173935634, 0.4817527276862945]","[0.640177464435498, 0.5681139949460824, 0.5177312754342953, 0.5034030227114757, 0.5273714418212573, 0.49540157556533815, 0.4941364378730456, 0.5065283216784398, 0.491186522419254, 0.49005848497152327, 0.4977568763246139, 0.5065447094043096, 0.49816171114643415, 0.48754640740652877, 0.4869885230064392, 0.49319471791386604, 0.4931308551132679, 0.48576459591587384, 0.4908747764180104, 0.49284012138843536, 0.4868572126328945, 0.49341584471364813, 0.5035613389064868, 0.485535985181729, 0.4895945433030526, 0.49070370468000574, 0.4860528365025918, 0.4826369820535183, 0.48497735743721326, 0.48424364179372786]","[3.5429306734823887, 3.18728166981628, 2.8598877099230875, 2.786456436567547, 2.898699354428742, 2.7429560617952387, 2.7329557679837415, 2.7922000676333076, 2.7193311680964505, 2.724575135262485, 2.767612632297662, 2.792984421617421, 2.747822677732071, 2.702274341675312, 2.699823486824157, 2.7236554366061494, 2.744376286322436, 2.693975845959237, 2.73765611262684, 2.747266726769408, 2.695900905637529, 2.729001050787233, 2.788716925827541, 2.6891430196916133, 2.7056851294328923, 2.7332764773971987, 2.6887140082652463, 2.675334937248681, 2.6963837670909947, 2.6802430424770463]"
2,30,10,5e-05,16,28,0.48685547709465027,25,2.6895469084693326,"[0.9986765648105315, 0.9610756271226065, 0.6704418734514288, 0.6008314066433481, 0.57440800649247, 0.560559223129281, 0.5511351125155176, 0.5431418970546552, 0.5379810665547847, 0.5304573558590242, 0.5246480116461004, 0.518752070548279, 0.5138990349109683, 0.5083798396081797, 0.5053824128556464, 0.5018954399015222, 0.4994033817467945, 0.4965492516117437, 0.4945268663391471, 0.49245490630822525, 0.49231781065996205, 0.49070467204387697, 0.48917169013193673, 0.48866915691643953, 0.4883193652810795, 0.48770180007708924, 0.4879393002603735, 0.4861425789232765, 0.485621011278459, 0.48551610875608664]","[1.0032989546656608, 0.7784746199349563, 0.6263833220303059, 0.5892130766560634, 0.5728086563199759, 0.5633817967275778, 0.5512726949031155, 0.5516622465724746, 0.5397359422470133, 0.5317388332138459, 0.5234384028613568, 0.5161049679170052, 0.5188539796074232, 0.510462158160905, 0.5025314283991853, 0.49769435478995244, 0.512420570962131, 0.49651815844078856, 0.4988722573593259, 0.49438952228675287, 0.49193711766352255, 0.48910590425133704, 0.4898766608908772, 0.487726365365088, 0.4905066626270612, 0.4874915391082565, 0.4923501139134169, 0.48745677577952545, 0.48685547709465027, 0.49060831146935624]","[5.437936736869642, 4.2767889554481044, 3.3883865355703797, 3.1795935501384833, 3.0851851099547827, 3.0448491417580446, 2.988580531668251, 3.0191252742715844, 2.9340963715937822, 2.898166399579366, 2.8587719590481537, 2.836423999490901, 2.841793058933391, 2.8212686949506076, 2.773026297144963, 2.7523215347116636, 2.8483988680500034, 2.7512209374876693, 2.7675704365188722, 2.733626609202706, 2.724321822737165, 2.7056271857260756, 2.7037664167729263, 2.6988954338335587, 2.709712368855955, 2.6895469084693326, 2.7148582999347344, 2.6931084992177667, 2.6900640358967496, 2.6966544953445073]"
3,30,10,5e-05,24,29,0.4842561385035515,25,2.6830877674927844,"[1.005894795837147, 0.9780350844242743, 0.6802701032481023, 0.6356513585522771, 0.6275293445587158, 0.6152865818621857, 0.578181982524693, 0.5342131957305329, 0.5169842350642596, 0.505082362975393, 0.4993185126036406, 0.49405019836234193, 0.4910831267785813, 0.49062500423618727, 0.4883620359296245, 0.48785372387351733, 0.486186540110835, 0.4857710630712765, 0.48479077629212824, 0.48461432502738067, 0.484144465425717, 0.48302190690434404, 0.4834381759725511, 0.48159632858155027, 0.48281925101365364, 0.4832076306162136, 0.48128282029580854, 0.48160679084381885, 0.4806002726671951, 0.4806606536571469]","[1.0030838852127393, 0.8388245985905329, 0.6324436301738023, 0.6248663574208816, 0.6131857558091481, 0.5952455224096775, 0.5608017722020546, 0.5419157475978136, 0.5232571358482043, 0.5117324459987382, 0.5047258009264867, 0.5006081986427308, 0.49566162075847386, 0.49525998398661614, 0.4961728129287561, 0.4911317380269368, 0.49352345590790114, 0.48859235654274624, 0.4918934203311801, 0.48883961865057546, 0.48803301200270655, 0.492772568911314, 0.48772209043304127, 0.487034239222606, 0.4864353934923808, 0.4847959410771728, 0.488136648585399, 0.48600269940992197, 0.4887960660705964, 0.4842561385035515]","[5.441493368687454, 4.591737312139329, 3.513563137613848, 3.475612172956764, 3.4182912698654437, 3.32586390791809, 3.032387562557286, 2.9277435657618276, 2.8441589297249585, 2.7987242105116636, 2.7670272393229047, 2.7447647765610066, 2.731623173388856, 2.7230444713811277, 2.7364404168725094, 2.7111629724981334, 2.714502397739664, 2.69911492161786, 2.725669879301414, 2.7081174602314815, 2.6944570592450607, 2.733812474928048, 2.693137943361328, 2.6881389133878684, 2.691224221970693, 2.6830877674927844, 2.7009925466600313, 2.688498270133375, 2.715264433614075, 2.683882355364656]"
4,30,20,0.0001,16,27,0.4838643290599187,27,2.668715005302757,"[0.995362545124122, 0.7367701853598867, 0.5912790116880621, 0.5697418529646737, 0.5601440717067038, 0.5545433123196875, 0.5460447069576808, 0.5369604676961899, 0.5263291548618249, 0.5160759887950761, 0.5060494983622006, 0.4997476801489081, 0.4953346967910017, 0.49218902170658113, 0.4902754594385624, 0.4881701728275844, 0.48682174923164506, 0.48634674539523465, 0.4862098993893181, 0.486382312136037, 0.4832057397173984, 0.4829773574216025, 0.48321175085646767, 0.4827135393023491, 0.48104337636913574, 0.48242542860763415, 0.48075212012444224, 0.48110661048974307, 0.48059744008949823, 0.4803725406101772]","[0.9796421207984288, 0.6178478715817134, 0.5809450677037239, 0.5731056104103724, 0.5649714577198028, 0.5599907240271569, 0.5567437168955803, 0.5376711788773537, 0.5273194668690363, 0.5184162651499112, 0.5064977779984474, 0.5034612571199735, 0.4979824419816335, 0.4982475899656614, 0.4961451510588328, 0.49238203177849454, 0.4947837644815445, 0.4909006300568581, 0.48933877746264137, 0.4887270340323448, 0.4879886453350385, 0.48672369788090386, 0.49114030559857685, 0.4867370064059893, 0.4871237091223399, 0.4846809191505114, 0.4877278345823288, 0.4838643290599187, 0.485738630592823, 0.48402689894040424]","[5.319936394416854, 3.456099938744737, 3.1524197743760864, 3.0969041686301764, 3.055662980163516, 3.021914265840147, 3.013372767147568, 2.9295219030880664, 2.8783531260089132, 2.852612802258694, 2.79088326859695, 2.782829678716765, 2.749008781041106, 2.7518715214745146, 2.7450212555461415, 2.720932430248079, 2.7266619896978965, 2.708460369324128, 2.712725426027569, 2.698402822067039, 2.695616524864737, 2.6896435211129703, 2.7111333107644793, 2.695928362616394, 2.694810592236007, 2.6812614031393647, 2.7028701325493523, 2.668715005302757, 2.6763932725224535, 2.672469421266007]"
5,30,20,0.0001,24,28,0.48192776560783385,28,2.670813138509991,"[0.9238212491146156, 0.6489444609837872, 0.6158673776686192, 0.5282795012422971, 0.5001666173764637, 0.49422628667737756, 0.4929003304881709, 0.4909465264422553, 0.48988028551851, 0.4883118630732809, 0.48833395721656936, 0.48766695537737437, 0.48733746532882966, 0.4851971878643547, 0.4865753408627851, 0.4856016320203032, 0.4837164675125054, 0.4846737843006849, 0.48376446434429715, 0.4831966970967395, 0.4828487879037857, 0.4839105933266027, 0.4823056551281895, 0.48333487191370555, 0.4819110885475363, 0.4821009832194873, 0.4824484514764377, 0.4821066566450255, 0.481580743683236, 0.4818815701987062]","[0.6907000688711802, 0.6173285639286041, 0.5674941412607829, 0.5202499164144198, 0.4978738416234652, 0.5140168925126394, 0.4939533613125483, 0.4915169495344162, 0.48940896173318227, 0.5010300215085347, 0.48821622649828594, 0.4886689023176829, 0.48649277359247206, 0.4855059716105461, 0.49738019168376923, 0.48560580492019656, 0.48495875438054403, 0.4834709761540095, 0.4840776828924815, 0.4843263398607572, 0.4830764850974083, 0.48285310437281925, 0.48338307191928226, 0.4848949127395948, 0.48227663546800614, 0.4842844503124555, 0.4846152887741725, 0.4826169263323148, 0.48192776560783385, 0.4828216141462326]","[3.7765915236374434, 3.435794819957523, 3.2153151782005662, 2.8562964554932315, 2.7612196315947664, 2.8299654036071353, 2.7366875210185886, 2.7290438398237953, 2.7251572460552365, 2.803764124246923, 2.715086484729502, 2.7062320098417456, 2.7011370823205283, 2.6967753271089436, 2.7540907183518253, 2.6947708895420193, 2.687257398021831, 2.6890963844462434, 2.6907331911127486, 2.6846545945026565, 2.688148083902632, 2.6828872737195892, 2.691280931811597, 2.6992074630655654, 2.677810492515213, 2.6945740984574513, 2.6883519060960173, 2.6783848235779146, 2.670813138509991, 2.6843557354455503]"
6,30,20,5e-05,16,29,0.5031081717212995,29,2.8033705224926853,"[1.0290592067156519, 0.9952555980426925, 0.961283229632037, 0.7932192293235234, 0.6908589667933328, 0.6642186183801719, 0.6495914303192071, 0.6397291735453265, 0.6330738614286695, 0.6288604072587831, 0.6260140785574912, 0.6238399859837124, 0.6221437166631222, 0.6203412742274148, 0.6187362492723124, 0.6165971349392618, 0.6147445522674493, 0.6120481640951974, 0.6088615619923388, 0.6049292172278676, 0.5983434993028641, 0.583997059996639, 0.5412956324219703, 0.5209660503055368, 0.5142434425439153, 0.5093197798516069, 0.5059661269400801, 0.5029347810149193, 0.5006930984556675, 0.49895388914006095]","[1.0122809139887492, 0.9886592823266983, 0.9162501347064972, 0.7175737128655115, 0.6705959897240003, 0.650095672806104, 0.6361845934391022, 0.6280994368592898, 0.6209090059995651, 0.6171150176723799, 0.6145553030570348, 0.6127331510186196, 0.6112344322601954, 0.6093481302261352, 0.6074501540263494, 0.6055917304754257, 0.6036321519811948, 0.6002526087562243, 0.5984101848800977, 0.5922507447997729, 0.5842889007925988, 0.5598656518260637, 0.5232534639040629, 0.517482388317585, 0.5135418729980786, 0.5115775552392006, 0.5077033453186353, 0.5059371815125148, 0.507298502822717, 0.5031081717212995]","[5.511671084040228, 5.372120960877612, 4.978431429705938, 3.923578978363389, 3.686243990897846, 3.5884608061586514, 3.5254115046458305, 3.49303222615653, 3.4604490424710015, 3.444894128169314, 3.4332099693823883, 3.4261442600951844, 3.419414773837321, 3.4112168155329625, 3.4024791305731856, 3.3943838117519753, 3.3848133359064985, 3.3701561592749822, 3.360223976706121, 3.329600086840904, 3.2898677968868686, 3.1581198939989177, 2.919921017077892, 2.8825451870409777, 2.8564406987916846, 2.8472416455270735, 2.8260220855481073, 2.819199835376974, 2.8300388542068, 2.8033705224926853]"
7,30,20,5e-05,24,27,0.49101086566845575,27,2.7050386440640994,"[0.9958338575703757, 0.9882359816559724, 0.8452412195290838, 0.6345338059961796, 0.6029153926351241, 0.592077823558024, 0.5826407836590495, 0.5740655442646572, 0.5657883401215077, 0.5587347036600113, 0.5520244743568556, 0.545807954626424, 0.5392458487195628, 0.5339824384131602, 0.5274726351350546, 0.5231165102975709, 0.5179050795733928, 0.512683921626636, 0.5070595293385642, 0.5034444157353469, 0.5011510961822101, 0.4980727024163519, 0.49501118310860226, 0.4932601713708469, 0.4913841969200543, 0.49099974376814703, 0.4890024720558098, 0.48802151296819957, 0.4871854162748371, 0.48654515760285516]","[1.0004783489306768, 0.9852481641372045, 0.6612512375911077, 0.5989584133028985, 0.5851061484217643, 0.580829455157121, 0.5751985843976338, 0.5697043695052465, 0.5647135636210442, 0.5603690075874329, 0.5576593313614527, 0.5514150048295657, 0.5428466278314591, 0.5360773361722628, 0.5338353731234868, 0.5344146886467933, 0.5282165597875913, 0.5145547993977865, 0.5123281160990397, 0.510992627342542, 0.5072784994045894, 0.5014687693119049, 0.49921671698490777, 0.4987723171710968, 0.4963159041603406, 0.4936440807580948, 0.4930728834867477, 0.49101086566845575, 0.4957751247286797, 0.4911656781037648]","[5.426473872423409, 5.354905336070692, 3.6560808811006096, 3.3590723451574633, 3.255665795844638, 3.206148394577614, 3.1647366136524786, 3.1286339790046216, 3.0947494722739077, 3.044028452214198, 3.01991278952921, 2.9984624541561207, 2.9486302548273393, 2.923800370596312, 2.914797498811952, 2.898174640017216, 2.909373736378005, 2.814884934727524, 2.796971770435846, 2.7885220570910527, 2.7949746158239033, 2.7590762712643233, 2.73952526610178, 2.733430695017225, 2.7364090834291024, 2.7150401175727015, 2.716646540715404, 2.7050386440640994, 2.7229788028383872, 2.711187113889187]"
