,EPOCH,BATCH_SIZE,LR,N_HIDDEN_UNITS,NUM_LAYERS,data_used_n,min_val_loss_id,min_val_loss,test_mse,train_loss_list,val_loss_list
0,70,1500,0.01,20,1,1000000,63,0.3296084213256836,1.820366065306603,"[0.5054429309398766, 0.4323626116907316, 0.41538452243779406, 0.40566702362556784, 0.39358429744743945, 0.38213154673576355, 0.37201607712331114, 0.36420604682326063, 0.3596178077528257, 0.3557705387824097, 0.35223225834410504, 0.35102372254370623, 0.34895507120218217, 0.3469975609850832, 0.34554564241295965, 0.34500819658441767, 0.34385733635063087, 0.34222297775668814, 0.3414573751756925, 0.34025844813541883, 0.3394255452735521, 0.33881650983138567, 0.3382079735940733, 0.3370567779086642, 0.336819755412016, 0.33629699606584024, 0.335873154648111, 0.3350600822643243, 0.3346681734606847, 0.33414673766946895, 0.33397545293771225, 0.3336429464485201, 0.33396516335087106, 0.3334002198384201, 0.33304158303033105, 0.33254638058980984, 0.33308852200717437, 0.3325625048587358, 0.3319530727329805, 0.33205954733701537, 0.33171755490262195, 0.331897685595447, 0.33175892617385955, 0.33117969656399027, 0.331246533185818, 0.33092154154047465, 0.3306207381491998, 0.33071451527275925, 0.3305837426502138, 0.33074768835267876, 0.330152036961192, 0.33055976974504664, 0.33011972897823666, 0.3299825988247257, 0.3298469819208284, 0.3299036236276463, 0.32953122663421347, 0.3301161871604797, 0.32960826483987893, 0.3299951764896544, 0.329658390080648, 0.3290649010805808, 0.3295373405136439, 0.32946699474812574, 0.3290832215317822, 0.32886782904380907, 0.329250097593863, 0.32908930079074183, 0.3293113370587535, 0.32857466142871905]","[0.454757376909256, 0.42405747175216674, 0.4191544842720032, 0.43076147824525834, 0.3858423352241516, 0.37611275374889375, 0.37026134103536607, 0.36565228074789047, 0.35847845435142517, 0.358167410492897, 0.3522305116057396, 0.3494030985236168, 0.36189122676849367, 0.3455750069022179, 0.34880106657743454, 0.3488742029666901, 0.34688803732395174, 0.3412020534276962, 0.3420751941204071, 0.34843446701765063, 0.34153195083141324, 0.34224418133497236, 0.3406318095326424, 0.3365403035283089, 0.3366632229089737, 0.33995352536439893, 0.33556923985481263, 0.34621729046106337, 0.33479346573352814, 0.34052117794752124, 0.33553550243377683, 0.34075608134269714, 0.35328613430261613, 0.33496412217617033, 0.3366027808189392, 0.33427220553159714, 0.3374718824028969, 0.33853821009397506, 0.33627531558275225, 0.33552109748125075, 0.33518557995557785, 0.3334187185764313, 0.33509892374277117, 0.3357537996768951, 0.33479621648788455, 0.33472961097955706, 0.3399114170670509, 0.33215135425329206, 0.3316222494840622, 0.3302713444828987, 0.33465074598789213, 0.3353856012225151, 0.33996638774871824, 0.33230124801397326, 0.34026700764894485, 0.33180306732654574, 0.33807130753993986, 0.33623516172170637, 0.33082287102937696, 0.3319298428297043, 0.33677706360816956, 0.33137027025222776, 0.3347194281220436, 0.3296084213256836, 0.33063829332590106, 0.33042699217796323, 0.3358376333117485, 0.33038580924272537, 0.33570039629936216, 0.33612229108810426]"
0,70,500,0.01,20,1,1000000,49,0.33508930931488673,1.828474704794755,"[0.4520594319594758, 0.3960702875682286, 0.3754920210050685, 0.3625182658646788, 0.35473077526049956, 0.350462659320661, 0.3481405326085431, 0.34616414552288394, 0.3448812938907317, 0.3436879658699036, 0.34282693951257637, 0.3425648153679711, 0.3415992140663522, 0.3410604282308902, 0.3404296246596745, 0.3398080602128591, 0.3393776181233781, 0.33884540902716775, 0.3384646436784949, 0.3385085374861956, 0.3382299258027758, 0.3381117418568049, 0.33775477803179194, 0.33721446391727244, 0.3372520092236144, 0.3371538998505899, 0.336814033303942, 0.3368270496279001, 0.3360890768734472, 0.3364447660850627, 0.33641072644719056, 0.33619438559881276, 0.3357620234202061, 0.33562312074537787, 0.33580838043242695, 0.3355486121880157, 0.33546279853475947, 0.3354344209123935, 0.33510634519159793, 0.33513202161661215, 0.33519998257713657, 0.33489360915230854, 0.3350168729626707, 0.33499174923769065, 0.33463764240699156, 0.3345309902993696, 0.3345602882547038, 0.3346648767111557, 0.3350734266585537, 0.33429536711956775, 0.3342237776145339, 0.33400321410170625, 0.3340320775711111, 0.3342041799213205, 0.33412890103246484, 0.3339682214653918, 0.3339350821077824, 0.3340197744326932, 0.33368373487676894, 0.3336284435061472, 0.33367762066956075, 0.33341627790459566, 0.3332917876967362, 0.3334381269876446, 0.33321053066956147, 0.33321068054863384, 0.3330684538611344, 0.3331624365225434, 0.3329511102129306, 0.33278963559440206]","[0.4064116516709328, 0.4006485187013944, 0.36561184416214626, 0.35792594561974206, 0.35306258072455726, 0.34985229154427844, 0.346410379310449, 0.34599965115388237, 0.3445804266134898, 0.34581730256477994, 0.3461691661675771, 0.34170920570691427, 0.3427758719523748, 0.34095876663923264, 0.3418515396118164, 0.3410700137416522, 0.34752369662125904, 0.3388659856716792, 0.34178044507900873, 0.33850699017445246, 0.34625688920418424, 0.34216053535540897, 0.346649775604407, 0.3381200287739436, 0.3390390841166178, 0.3410676798224449, 0.33712273587783176, 0.34115158845980964, 0.35063138683636985, 0.33746215571959814, 0.33964175045490264, 0.33810293624798454, 0.3376175193985303, 0.3538035571575165, 0.33929347117741904, 0.33784805943568547, 0.3385473176836967, 0.3388576740026474, 0.33738196820020677, 0.33654940356810886, 0.33832010557254155, 0.33699222922325134, 0.33952518353859584, 0.33927065710226695, 0.33571002980073295, 0.3374605123202006, 0.3424840395649274, 0.3393584602077802, 0.33714979867140454, 0.33508930931488673, 0.33721535871426267, 0.33602020810047784, 0.33667310923337934, 0.3366907034317652, 0.3357652772466342, 0.33927821427583693, 0.34072438011566797, 0.34123407314221066, 0.3369886101782322, 0.33570296903451285, 0.3432179821530978, 0.33833087493975955, 0.3364631772041321, 0.340939291814963, 0.33644051929314933, 0.34015014201402666, 0.3369358555475871, 0.3366906732320786, 0.3356895404060682, 0.33784683714310326]"
0,70,1500,0.01,24,1,1000000,64,0.3118693560361862,1.6969379229564516,"[0.4898006911578985, 0.4098745214032923, 0.3920133807546832, 0.3815573671198504, 0.367979917587509, 0.3610630562524979, 0.3552279829723677, 0.3504458475355418, 0.34751276250697305, 0.3445217596961293, 0.34030694257651456, 0.33720275967100705, 0.33482202549307455, 0.33207459173442466, 0.33011738502877175, 0.328197514730041, 0.3269283260663521, 0.3257948980852164, 0.32485459266306244, 0.32425307582992047, 0.323123257056804, 0.3220790962527089, 0.3217580042444409, 0.3207997047288515, 0.32016135914933247, 0.319765766663776, 0.3197915549898556, 0.31898867969084094, 0.3187737608491992, 0.3179261041785205, 0.3179376976329203, 0.3175727665679613, 0.3168030115725907, 0.31723119615232154, 0.31650175160590793, 0.31593089325780277, 0.31569631755096755, 0.3159253900707151, 0.31508947123934933, 0.3152040394713077, 0.3150114719885575, 0.31442362721012285, 0.31405471632261095, 0.31421120815792736, 0.3137187006259118, 0.31369725326016323, 0.31371671073058943, 0.3127030102930947, 0.31311618337284064, 0.31271848136786473, 0.3126825410753042, 0.31220369800382813, 0.3122343656784462, 0.31211070464305757, 0.3116668681644015, 0.31215182661499663, 0.3111131165407965, 0.3117197763166795, 0.31154219873201666, 0.3112002423539662, 0.31086750149854503, 0.3107395596499106, 0.31131410554083305, 0.31047737943028486, 0.31006493140211455, 0.31069093598032915, 0.3106188781128706, 0.3101953870160166, 0.31034607639659906, 0.30970925584084474]","[0.4248312160372734, 0.3987817108631134, 0.38725838989019395, 0.3816642743349075, 0.3655934113264084, 0.3600441014766693, 0.35665655463933943, 0.35229428052902223, 0.3454062974452972, 0.3478280460834503, 0.3445732292532921, 0.3370043060183525, 0.3433985134959221, 0.33611947804689407, 0.33560559451580046, 0.329755796790123, 0.3287107616662979, 0.32529189318418505, 0.32976707845926284, 0.32627218663692475, 0.3248908597230911, 0.32280878722667694, 0.3240707388520241, 0.32005403518676756, 0.329514721930027, 0.34781977146863935, 0.3204812029004097, 0.31994765281677245, 0.320852033495903, 0.3188168317079544, 0.3209126403927803, 0.3225215020775795, 0.32156866043806076, 0.31837181508541107, 0.3192353862524033, 0.32380522817373275, 0.3171898254752159, 0.3171130898594856, 0.31727199494838715, 0.31780082911252977, 0.3171249809861183, 0.3196743968129158, 0.317066932618618, 0.31879675269126895, 0.32372313767671584, 0.3207106959819794, 0.31732811719179155, 0.317171576321125, 0.31852526009082793, 0.3152182954549789, 0.31659039914608, 0.31403863042593, 0.3144544142484665, 0.3136036142706871, 0.3144976210594177, 0.3123610442876816, 0.3146315833926201, 0.31389194637537005, 0.3176980671286583, 0.3157087403535843, 0.3134291326999664, 0.3135547137260437, 0.3133584898710251, 0.3141335061192512, 0.3118693560361862, 0.31268414229154584, 0.312316962480545, 0.3120982804894447, 0.319366914331913, 0.3138707792758942]"
