,EPOCH,BATCH_SIZE,LR,N_HIDDEN_UNITS,NUM_LAYERS,data_used_n,min_val_loss_id,min_val_loss,test_mse,train_loss_list,val_loss_list,BI_DIR
0,150,2500,0.01,90,1,1000000,29,0.37594866553942363,2.425061102875499,"[0.4659919814339706, 0.4473445251584053, 0.4441239202128989, 0.4399947103112936, 0.4351501755416393, 0.4275358256484781, 0.4173098437488079, 0.40771440900862216, 0.4017423715442419, 0.39756667379822047, 0.3944183874343123, 0.3922901174851826, 0.3904729818126985, 0.3892719990440777, 0.38747531452349254, 0.3862475862460477, 0.38501738613205294, 0.38260402759271006, 0.3822615366961275, 0.3801076987492187, 0.3795323550168957, 0.3783744525164366, 0.3782535992030587, 0.3769902079765286, 0.37749837275062287, 0.37577575221657755, 0.37580298983625005, 0.3753509213881833, 0.3741982249809163, 0.37316130617899557, 0.4829262409891401, 0.45228790161865096, 0.4485216544142791, 0.44607111769063135, 0.445326534605452, 0.4438692286078419, 0.44270263058798653, 0.44166499456124647, 0.4403100482587303, 0.44233688988855907]","[0.4509843890865644, 0.4449340010682742, 0.44005192816257477, 0.4375260218977928, 0.43473244508107506, 0.42514044245084126, 0.412260394791762, 0.40502936790386834, 0.4042626137534777, 0.40094029406706494, 0.39842591881752015, 0.39169636567433674, 0.3914388582110405, 0.39084891478220624, 0.3976395269234975, 0.3898272141814232, 0.3920111318429311, 0.40857279350360237, 0.38439111510912577, 0.3841018150250117, 0.3806890820463498, 0.3844405750433604, 0.3810307775934537, 0.37821313788493477, 0.3799718563755353, 0.38412724484999977, 0.38120537747939426, 0.37933565576871237, 0.3793703898787498, 0.37594866553942363, 0.4566728711128235, 0.45999340564012525, 0.45253950357437134, 0.4494154224793116, 0.44565496444702146, 0.4527530029416084, 0.44678636342287065, 0.4395656272768974, 0.44237334181865057, 0.44396964212258655]",True
0,150,2500,0.01,120,1,1000000,49,0.37937915126482646,2.4301952536222133,"[0.4740268643413271, 0.44753555596939154, 0.44577841136072366, 0.4408607970391001, 0.43676314705184527, 0.4344766597662653, 0.4319544675094741, 0.4288121640150036, 0.42623051750872815, 0.4236288485250303, 0.4194359473351921, 0.41759324760309285, 0.41499760656484536, 0.41366424102868354, 0.4116456360689231, 0.41061237347977503, 0.40973166349743095, 0.408666712098888, 0.4080859087407589, 0.40710232023681914, 0.4072119155100414, 0.40587406807712145, 0.403287184131997, 0.4013717548655612, 0.3993593348988465, 0.3994909929909876, 0.39641964185450757, 0.39501030280121735, 0.3938679259802614, 0.39148497698562484, 0.3906807152288301, 0.3894106754767043, 0.3887871209532022, 0.38769393020442555, 0.3865541049412319, 0.38554234611136573, 0.38561258018016814, 0.3843606151640415, 0.3835796206657376, 0.3828043719487531, 0.3827330903815372, 0.38160423418240885, 0.38150889644665376, 0.38109817520848344, 0.38025197461247445, 0.37987063729337284, 0.37981468875493324, 0.3802342775676932, 0.37980881982616016, 0.37868767700025013, 0.4170438249196325, 0.4822539336979389, 0.4572370124714715, 0.45242968685925006, 0.4496151296155793, 0.4483499849481242, 0.4477492526705776, 0.4467396711132356, 0.4461792779820306, 0.44530857673713137]","[0.4506755838791529, 0.4479657585422198, 0.44323407858610153, 0.4391311491529147, 0.4342045823733012, 0.43413898795843125, 0.4406310180823008, 0.43069345553716026, 0.4259548857808113, 0.42216857622067133, 0.41719168225924175, 0.41544964760541914, 0.413678270081679, 0.41472905526558557, 0.41255660106738407, 0.4123957042892774, 0.41024390459060667, 0.409379210571448, 0.41039022207260134, 0.40968956500291825, 0.41140678425629934, 0.414638256529967, 0.406064473092556, 0.4004459619522095, 0.3970607653260231, 0.3962187444170316, 0.39904222985108695, 0.3930239881078402, 0.3948196972409884, 0.395766127606233, 0.3952036420504252, 0.3883113175630569, 0.39275847872098285, 0.38760618567466737, 0.3898353839914004, 0.38567368884881337, 0.38473105331261953, 0.38605156193176904, 0.3907745788494746, 0.38158134122689563, 0.384621699154377, 0.3849167252580325, 0.3803903266787529, 0.38181761105855305, 0.37944131592909497, 0.3817384496331215, 0.38482330441474916, 0.38232935667037965, 0.4003145719567935, 0.37937915126482646, 0.563484650850296, 0.461629655957222, 0.45503913760185244, 0.4530999168753624, 0.4495643898844719, 0.4486938739816348, 0.44798619697491326, 0.44599994719028474, 0.4461054454247157, 0.4458790858586629]",True
