,EPOCH,BATCH_SIZE,LR,N_HIDDEN_UNITS,NUM_LAYERS,train_count,min_val_loss_id,min_val_loss,min_test_mse_id,min_test_mse,train_loss_list,val_loss_list,test_mse_list
1,45,2000,0.005,12,1,224000,0,1,44.0,2.250195718637817,"[0.7235088646411896, 0.5224576512617725, 0.48548575011747225, 0.4799004149224077, 0.46758029769573894, 0.45982726024729864, 0.4542897314365421, 0.4528910807733025, 0.45169273684067385, 0.44802957347461153, 0.44999250237430843, 0.44828619887786253, 0.4448907955416611, 0.4432677371161325, 0.44484500108020647, 0.44103155258510796, 0.44172053251947674, 0.44187019313020365, 0.43916102073022295, 0.43806756740169867, 0.43537159503570627, 0.4345831966825894, 0.43527158190097126, 0.43279436470142435, 0.43221976368555, 0.43103199718253954, 0.4296900374548776, 0.42921348262046066, 0.42808014021388124, 0.4303800123078482, 0.4282023709799562, 0.42731525003910065, 0.42507972807756494, 0.425208326961313, 0.4253570389534746, 0.4243845324963331, 0.4228930377534458, 0.42389836641294615, 0.42148533862616333, 0.4210727480905397, 0.4209453729646547, 0.42107347771525383, 0.42159723969442503, 0.41852338266159805, 0.41835547078933033]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3.2784737395312438, 2.644226066749398, 2.5946371441952047, 2.5488418899925165, 2.478971115997391, 2.448928237151411, 2.431869999992398, 2.4157072275259637, 2.4153294550496334, 2.4022114596942052, 2.400214534317781, 2.393306314960365, 2.3924777049209345, 2.378393108262765, 2.3853679609738982, 2.3745130408617783, 2.3584444608030326, 2.3604928551623434, 2.365864102441132, 2.3887104514902955, 2.341890648861552, 2.3325827684280216, 2.38477512443407, 2.3567085272312718, 2.3301305377564665, 2.3070654931571966, 2.307446077612959, 2.3100415976926363, 2.3453724354250944, 2.311763154090576, 2.3111996454340518, 2.293444318964627, 2.2828068477008663, 2.3305232911016076, 2.2853232269698833, 2.2750132865579915, 2.2939069246436468, 2.3056427079426927, 2.268459720761813, 2.257352678624927, 2.262676988605918, 2.2838077759311086, 2.2897012247319855, 2.2551839543141643, 2.250195718637817]"
1,45,2000,0.005,12,1,224000,0,1,44.0,2.250195718637817,"[0.7235088646411896, 0.5224576512617725, 0.48548575011747225, 0.4799004149224077, 0.46758029769573894, 0.45982726024729864, 0.4542897314365421, 0.4528910807733025, 0.45169273684067385, 0.44802957347461153, 0.44999250237430843, 0.44828619887786253, 0.4448907955416611, 0.4432677371161325, 0.44484500108020647, 0.44103155258510796, 0.44172053251947674, 0.44187019313020365, 0.43916102073022295, 0.43806756740169867, 0.43537159503570627, 0.4345831966825894, 0.43527158190097126, 0.43279436470142435, 0.43221976368555, 0.43103199718253954, 0.4296900374548776, 0.42921348262046066, 0.42808014021388124, 0.4303800123078482, 0.4282023709799562, 0.42731525003910065, 0.42507972807756494, 0.425208326961313, 0.4253570389534746, 0.4243845324963331, 0.4228930377534458, 0.42389836641294615, 0.42148533862616333, 0.4210727480905397, 0.4209453729646547, 0.42107347771525383, 0.42159723969442503, 0.41852338266159805, 0.41835547078933033]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3.2784737395312438, 2.644226066749398, 2.5946371441952047, 2.5488418899925165, 2.478971115997391, 2.448928237151411, 2.431869999992398, 2.4157072275259637, 2.4153294550496334, 2.4022114596942052, 2.400214534317781, 2.393306314960365, 2.3924777049209345, 2.378393108262765, 2.3853679609738982, 2.3745130408617783, 2.3584444608030326, 2.3604928551623434, 2.365864102441132, 2.3887104514902955, 2.341890648861552, 2.3325827684280216, 2.38477512443407, 2.3567085272312718, 2.3301305377564665, 2.3070654931571966, 2.307446077612959, 2.3100415976926363, 2.3453724354250944, 2.311763154090576, 2.3111996454340518, 2.293444318964627, 2.2828068477008663, 2.3305232911016076, 2.2853232269698833, 2.2750132865579915, 2.2939069246436468, 2.3056427079426927, 2.268459720761813, 2.257352678624927, 2.262676988605918, 2.2838077759311086, 2.2897012247319855, 2.2551839543141643, 2.250195718637817]"
2,45,1500,0.01,12,1,224000,0,1,37.0,2.120119485918214,"[0.6092938242355982, 0.48958100497722623, 0.4703695823748906, 0.4525667311747869, 0.4445406566063563, 0.4434528825680415, 0.43816907982031505, 0.43666059772173565, 0.4339168264468511, 0.4281988833347956, 0.42534838398297625, 0.42362795690695443, 0.4212068053086599, 0.42007911384105684, 0.4176742907365163, 0.41668897847334546, 0.41535325268904366, 0.41413469036420186, 0.41221576869487764, 0.41225336809953056, 0.4100034995873769, 0.40748720824718476, 0.4069958209991455, 0.4065923303365707, 0.40604500552018485, 0.403697988986969, 0.403310560186704, 0.4035047801335653, 0.40314325829346975, 0.4011470550298691, 0.4012242253621419, 0.4001790618896484, 0.4000814765691757, 0.3986825031042099, 0.39826815903186796, 0.39819783012072246, 0.39815852999687196, 0.3972386481364568, 0.39834833741188047, 0.39729235410690306, 0.3944776729742686, 0.3951297253370285, 0.394278066555659, 0.39338929871718087, 0.3951076163848241]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2.665759688904047, 2.6491639111353256, 2.424470093838978, 2.3837231768195104, 2.467931740923599, 2.3577233300071403, 2.3404963319791623, 2.3329501285235796, 2.2968985983580343, 2.288090566046377, 2.363014828847879, 2.389569524310705, 2.256019130910732, 2.279268086154177, 2.23865912278945, 2.2373929839554636, 2.2724944296850236, 2.221759602291319, 2.2353821011348978, 2.224380728882209, 2.223253325229859, 2.2083655671036113, 2.2879696039906734, 2.1910752072747983, 2.1643362266068835, 2.1947767591420146, 2.1604800919035982, 2.1606018257691275, 2.1671309745547918, 2.158111976057776, 2.1458502538107598, 2.1693852626717143, 2.146325581930049, 2.141263078126668, 2.163358665452196, 2.1356089280238004, 2.125929911699504, 2.120119485918214, 2.184363178611853, 2.126334299404069, 2.137576006661026, 2.1695106501687977, 2.126445587173923, 2.1495227869955844, 2.121763831264625]"
