,Unnamed: 0,EPOCH,BATCH_SIZE,LR,N_HIDDEN_UNITS,NUM_LAYERS,train_count,min_val_loss_id,min_val_loss,min_test_mse_id,min_test_mse,train_loss_list,val_loss_list,test_mse_list
0,1.0,45,2000,0.005,12,1,224000,0,1,44.0,2.250195718637817,"[0.7235088646411896, 0.5224576512617725, 0.48548575011747225, 0.4799004149224077, 0.46758029769573894, 0.45982726024729864, 0.4542897314365421, 0.4528910807733025, 0.45169273684067385, 0.44802957347461153, 0.44999250237430843, 0.44828619887786253, 0.4448907955416611, 0.4432677371161325, 0.44484500108020647, 0.44103155258510796, 0.44172053251947674, 0.44187019313020365, 0.43916102073022295, 0.43806756740169867, 0.43537159503570627, 0.4345831966825894, 0.43527158190097126, 0.43279436470142435, 0.43221976368555, 0.43103199718253954, 0.4296900374548776, 0.42921348262046066, 0.42808014021388124, 0.4303800123078482, 0.4282023709799562, 0.42731525003910065, 0.42507972807756494, 0.425208326961313, 0.4253570389534746, 0.4243845324963331, 0.4228930377534458, 0.42389836641294615, 0.42148533862616333, 0.4210727480905397, 0.4209453729646547, 0.42107347771525383, 0.42159723969442503, 0.41852338266159805, 0.41835547078933033]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3.2784737395312438, 2.644226066749398, 2.5946371441952047, 2.5488418899925165, 2.478971115997391, 2.448928237151411, 2.431869999992398, 2.4157072275259637, 2.4153294550496334, 2.4022114596942052, 2.400214534317781, 2.393306314960365, 2.3924777049209345, 2.378393108262765, 2.3853679609738982, 2.3745130408617783, 2.3584444608030326, 2.3604928551623434, 2.365864102441132, 2.3887104514902955, 2.341890648861552, 2.3325827684280216, 2.38477512443407, 2.3567085272312718, 2.3301305377564665, 2.3070654931571966, 2.307446077612959, 2.3100415976926363, 2.3453724354250944, 2.311763154090576, 2.3111996454340518, 2.293444318964627, 2.2828068477008663, 2.3305232911016076, 2.2853232269698833, 2.2750132865579915, 2.2939069246436468, 2.3056427079426927, 2.268459720761813, 2.257352678624927, 2.262676988605918, 2.2838077759311086, 2.2897012247319855, 2.2551839543141643, 2.250195718637817]"
1,1.0,45,2000,0.005,12,1,224000,0,1,44.0,2.250195718637817,"[0.7235088646411896, 0.5224576512617725, 0.48548575011747225, 0.4799004149224077, 0.46758029769573894, 0.45982726024729864, 0.4542897314365421, 0.4528910807733025, 0.45169273684067385, 0.44802957347461153, 0.44999250237430843, 0.44828619887786253, 0.4448907955416611, 0.4432677371161325, 0.44484500108020647, 0.44103155258510796, 0.44172053251947674, 0.44187019313020365, 0.43916102073022295, 0.43806756740169867, 0.43537159503570627, 0.4345831966825894, 0.43527158190097126, 0.43279436470142435, 0.43221976368555, 0.43103199718253954, 0.4296900374548776, 0.42921348262046066, 0.42808014021388124, 0.4303800123078482, 0.4282023709799562, 0.42731525003910065, 0.42507972807756494, 0.425208326961313, 0.4253570389534746, 0.4243845324963331, 0.4228930377534458, 0.42389836641294615, 0.42148533862616333, 0.4210727480905397, 0.4209453729646547, 0.42107347771525383, 0.42159723969442503, 0.41852338266159805, 0.41835547078933033]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3.2784737395312438, 2.644226066749398, 2.5946371441952047, 2.5488418899925165, 2.478971115997391, 2.448928237151411, 2.431869999992398, 2.4157072275259637, 2.4153294550496334, 2.4022114596942052, 2.400214534317781, 2.393306314960365, 2.3924777049209345, 2.378393108262765, 2.3853679609738982, 2.3745130408617783, 2.3584444608030326, 2.3604928551623434, 2.365864102441132, 2.3887104514902955, 2.341890648861552, 2.3325827684280216, 2.38477512443407, 2.3567085272312718, 2.3301305377564665, 2.3070654931571966, 2.307446077612959, 2.3100415976926363, 2.3453724354250944, 2.311763154090576, 2.3111996454340518, 2.293444318964627, 2.2828068477008663, 2.3305232911016076, 2.2853232269698833, 2.2750132865579915, 2.2939069246436468, 2.3056427079426927, 2.268459720761813, 2.257352678624927, 2.262676988605918, 2.2838077759311086, 2.2897012247319855, 2.2551839543141643, 2.250195718637817]"
2,2.0,45,1500,0.01,12,1,224000,0,1,37.0,2.120119485918214,"[0.6092938242355982, 0.48958100497722623, 0.4703695823748906, 0.4525667311747869, 0.4445406566063563, 0.4434528825680415, 0.43816907982031505, 0.43666059772173565, 0.4339168264468511, 0.4281988833347956, 0.42534838398297625, 0.42362795690695443, 0.4212068053086599, 0.42007911384105684, 0.4176742907365163, 0.41668897847334546, 0.41535325268904366, 0.41413469036420186, 0.41221576869487764, 0.41225336809953056, 0.4100034995873769, 0.40748720824718476, 0.4069958209991455, 0.4065923303365707, 0.40604500552018485, 0.403697988986969, 0.403310560186704, 0.4035047801335653, 0.40314325829346975, 0.4011470550298691, 0.4012242253621419, 0.4001790618896484, 0.4000814765691757, 0.3986825031042099, 0.39826815903186796, 0.39819783012072246, 0.39815852999687196, 0.3972386481364568, 0.39834833741188047, 0.39729235410690306, 0.3944776729742686, 0.3951297253370285, 0.394278066555659, 0.39338929871718087, 0.3951076163848241]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2.665759688904047, 2.6491639111353256, 2.424470093838978, 2.3837231768195104, 2.467931740923599, 2.3577233300071403, 2.3404963319791623, 2.3329501285235796, 2.2968985983580343, 2.288090566046377, 2.363014828847879, 2.389569524310705, 2.256019130910732, 2.279268086154177, 2.23865912278945, 2.2373929839554636, 2.2724944296850236, 2.221759602291319, 2.2353821011348978, 2.224380728882209, 2.223253325229859, 2.2083655671036113, 2.2879696039906734, 2.1910752072747983, 2.1643362266068835, 2.1947767591420146, 2.1604800919035982, 2.1606018257691275, 2.1671309745547918, 2.158111976057776, 2.1458502538107598, 2.1693852626717143, 2.146325581930049, 2.141263078126668, 2.163358665452196, 2.1356089280238004, 2.125929911699504, 2.120119485918214, 2.184363178611853, 2.126334299404069, 2.137576006661026, 2.1695106501687977, 2.126445587173923, 2.1495227869955844, 2.121763831264625]"
0,,70,5000,0.01,12,1,350000,0,1,68.0,2.19808766631488,"[0.7354409507342747, 0.5077008719955172, 0.48703686807836805, 0.48331927614552633, 0.47501590166773117, 0.4689875636781965, 0.4564135445015771, 0.44765498978751045, 0.44548681250640326, 0.4425777533224651, 0.44323348913873944, 0.4401663682290486, 0.4399148498262678, 0.4382878158773695, 0.4376939658607755, 0.43895712111677443, 0.43638083934783933, 0.4351734727621078, 0.4363375042166029, 0.4344572637762342, 0.43441045710018705, 0.4329749975885664, 0.4319201333182199, 0.4315254658460617, 0.4307998333658491, 0.4304887482098171, 0.429262221285275, 0.4304472352777209, 0.42824940085411073, 0.42673165244715555, 0.42601619618279596, 0.42852670124598913, 0.42703528021063125, 0.42381880453654697, 0.4275848682437624, 0.4228359567267554, 0.4228775667292731, 0.42442634872027807, 0.4210183846099036, 0.4213077924081257, 0.4211013636418751, 0.4197987709726606, 0.419387172801154, 0.419599192908832, 0.41890015516962326, 0.4180067850010736, 0.41918836321149555, 0.4182416345391955, 0.41720985897949764, 0.41684993122305186, 0.4160827474934714, 0.41685935854911804, 0.41533914165837427, 0.41492292540413994, 0.41377019115856717, 0.416574730191912, 0.41360572406223844, 0.41278879046440126, 0.41321030982903073, 0.4113584450313023, 0.4121700759444918, 0.41154492156846184, 0.410118641597884, 0.41251696220466066, 0.4107546018702643, 0.40990391756807054, 0.40756395586899347, 0.40710991535867963, 0.40610608288219996, 0.4064506641456059]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2.915905025594034, 2.6496431532385274, 2.639752236738965, 2.617877739587016, 2.5248745726893564, 2.465376894616452, 2.4752308197775905, 2.4126810521568878, 2.4030498078245834, 2.3954798095582706, 2.384382812132999, 2.40257320919781, 2.3744712886746275, 2.403233736109498, 2.392827738918871, 2.371663070444351, 2.383192763649596, 2.386301224624822, 2.3533901058098077, 2.3698523831174207, 2.361267860962421, 2.344730220281688, 2.3446151934662494, 2.340422575136885, 2.337321827825332, 2.3253628753893616, 2.3747635906134534, 2.3186795134233167, 2.3153820574252295, 2.334871703470208, 2.3210516679137516, 2.304931536467734, 2.3051890320653814, 2.3000805231484103, 2.302318858307294, 2.2937580537413873, 2.2934181922242725, 2.286523092608273, 2.2871034985910956, 2.281665600916177, 2.2768606817757777, 2.2760078336269123, 2.272774219280713, 2.327168436116044, 2.273185007716697, 2.2817647354666417, 2.2816889442274344, 2.2662472245814853, 2.2595386909923003, 2.2755938136396936, 2.2653734402650323, 2.270220900885431, 2.2487360757907258, 2.2483707556890766, 2.2494455827345172, 2.2516695045936794, 2.2409019706129953, 2.240208811984243, 2.2468085110338176, 2.230688451341368, 2.2476750999151816, 2.2265168034605343, 2.235229658842959, 2.2262362164263996, 2.2116864600429906, 2.2296595251982736, 2.2185639815861333, 2.2113074361910625, 2.19808766631488, 2.20901828591146]"
1,,70,5000,0.03,12,1,350000,0,1,67.0,2.048043068608886,"[0.6974067406994956, 0.64935975755964, 0.533980998822621, 0.4911981612443924, 0.48504976545061385, 0.47964553918157304, 0.46263524762221747, 0.4453625270298549, 0.4344205847808293, 0.42948661957468304, 0.4281505929572242, 0.42418894001415797, 0.42210110255650113, 0.418517661520413, 0.41884116189820425, 0.4138966019664492, 0.41207018154008046, 0.4102827523435865, 0.40880248291151866, 0.4064875189747129, 0.4052889572722571, 0.4044903482709612, 0.4028611732380731, 0.40171913206577303, 0.4000487740550722, 0.40009251407214574, 0.3988550829035895, 0.39787741218294415, 0.3967963687011174, 0.3954720573765891, 0.3949403452021735, 0.39463656502110617, 0.39217673284666876, 0.39171922249453406, 0.39048768707684106, 0.3891060675893511, 0.38871165343693326, 0.38797466244016376, 0.3871882804802486, 0.3857509515115193, 0.38666490060942516, 0.3842755722148078, 0.3847444764205388, 0.38438610306807924, 0.3834408909082413, 0.3833605919565473, 0.3823419064283371, 0.3820358723402023, 0.38207934669085913, 0.3805307831083025, 0.38238673635891507, 0.3812857776880264, 0.38023529393332345, 0.38105507109846387, 0.3794793656894139, 0.37936963396412987, 0.37971389293670654, 0.3805798092058727, 0.37903638865266526, 0.37860868190016067, 0.37942883585180553, 0.3788134272609438, 0.3788921649966921, 0.3774895621197564, 0.37788559581552233, 0.3777248876435416, 0.3776191826377596, 0.3766899743250438, 0.3796247426952635, 0.3773129599434989]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3.345481849032778, 3.184837128476317, 2.68558547666558, 2.62428270844186, 2.5949353817282423, 2.5633269431427275, 2.4139478279585824, 2.376106585990381, 2.3576144816076994, 2.3294139142726786, 2.2988842627623955, 2.2906929677355707, 2.2727473464045405, 2.282766927415152, 2.2581964358857642, 2.2641024172958604, 2.2448241761018592, 2.2241397899814137, 2.2051916377618417, 2.1933592118483434, 2.2152250803193936, 2.192621244079146, 2.188346259402071, 2.19025887580953, 2.1631366732666226, 2.172846938492216, 2.1750975699313786, 2.152808851926405, 2.1544510334619775, 2.136418214376187, 2.1396924392870558, 2.153870497022654, 2.1302756688695497, 2.116243127536572, 2.118202634197154, 2.107391187100185, 2.121683659351574, 2.110665443753377, 2.105617815695374, 2.1074250347010226, 2.094213005020781, 2.105410751159882, 2.0958157211754327, 2.0843740518564458, 2.085946272333895, 2.080542378852539, 2.0852791213728104, 2.0780309301922295, 2.068083518434245, 2.0907289585978206, 2.0726448800428536, 2.066441782424934, 2.0797794301941543, 2.087645402622523, 2.06418980909588, 2.061121821634982, 2.0997682766060786, 2.064474517020678, 2.063412821442953, 2.0567545692434006, 2.0756610391422017, 2.0581360922153573, 2.058607119445893, 2.069480210800547, 2.0545882530003574, 2.0555290378380473, 2.058159690293599, 2.048043068608886, 2.0616676627393113, 2.0494169432819764]"
2,,60,2500,0.05,12,1,350000,0,1,58.0,2.039989850324195,"[0.5977430088179452, 0.4831191795212882, 0.44868318842990057, 0.4317955715315683, 0.42310999291283746, 0.4193665587476322, 0.4162478444831712, 0.4109611142958913, 0.4083293633801596, 0.4065416887402534, 0.4057599318878991, 0.4020736881664821, 0.40141420449529375, 0.40059599876403806, 0.3976265074951308, 0.3963224653686796, 0.3959950891988618, 0.394773696575846, 0.3921891276325498, 0.3910437592438289, 0.390745464180197, 0.39143960028886793, 0.38977990193026407, 0.38954660232578003, 0.39121460403714864, 0.3883766689470836, 0.38789942158120017, 0.3870809312377657, 0.3868014952966145, 0.38605252312762395, 0.3851642683148384, 0.3845047957130841, 0.3850929317729814, 0.383678534414087, 0.3828848493950708, 0.3817660095436232, 0.38222996443510054, 0.38394265792199544, 0.381265008023807, 0.3822608473045485, 0.38127986192703245, 0.3820171790463584, 0.3811191256557192, 0.3825318747333118, 0.38007514540638243, 0.38033102388892853, 0.38012947610446385, 0.3795739861471312, 0.37894483847277505, 0.38006333453314645, 0.3778740393263953, 0.3787603516663824, 0.38141621564115796, 0.378535509960992, 0.3776444875768253, 0.37782483867236544, 0.37764927979026525, 0.3780371925660542, 0.37697161436080934, 0.37798719917024887]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2.6265364083006926, 2.5489671598125905, 2.345954767008233, 2.310847205968774, 2.2785625898621156, 2.2641671818194262, 2.2166071441717987, 2.233315688963981, 2.201311340567246, 2.2257673757374095, 2.185008041068617, 2.169754059886293, 2.1596244966414333, 2.146870277989657, 2.1512635964142404, 2.1559369185467703, 2.130087604141111, 2.119997452548676, 2.1616525540573512, 2.1247302858083725, 2.124638497170092, 2.1144332840171756, 2.1130597624254075, 2.150020755957997, 2.118661758274694, 2.0939873346373683, 2.161069143875818, 2.098479819716224, 2.09365568972773, 2.1572576976077324, 2.1195286632117845, 2.1268776810007766, 2.074186955055201, 2.0786196384470506, 2.0744349514252933, 2.066449531634506, 2.080082571385423, 2.0670455712574225, 2.077444081056784, 2.073742630252662, 2.0723596061975385, 2.0633407585907397, 2.0572272223819863, 2.067626478770205, 2.0638076825195237, 2.1344540169596726, 2.0579142488463917, 2.0822101837764553, 2.052326092994265, 2.0575281534495753, 2.0702436245189206, 2.081943879468138, 2.0633125075638543, 2.049795200228587, 2.054339588093595, 2.0551213674947864, 2.0513451397847158, 2.0570229880089825, 2.039989850324195, 2.1012582973064586]"
3,,60,1500,0.01,12,1,350000,0,1,55.0,2.0505837963818356,"[0.5977406827812521, 0.4641157587369283, 0.4479976130856408, 0.4424267714349633, 0.437990513494891, 0.43225798316490954, 0.4281707495196253, 0.4225346486792605, 0.4209554955745355, 0.4177600453552018, 0.4145828875211569, 0.4106709404378875, 0.40924665459200865, 0.40776202693963665, 0.4055342441185927, 0.4035028775787761, 0.40070765561018235, 0.40092247393396163, 0.3984880997584416, 0.3963287066445391, 0.39510133302109873, 0.3946998489972873, 0.39431222177978253, 0.3920847015757846, 0.3934245270032149, 0.3901591494552091, 0.39143876349314666, 0.3895613692509822, 0.38974258749403506, 0.38881983932776326, 0.3878616688088474, 0.3883603685177289, 0.38739235495400226, 0.3873290624628719, 0.38723114272977555, 0.38562327737991625, 0.3855939768573158, 0.3859052516711064, 0.3853492583983984, 0.38443941756700856, 0.3836295672206797, 0.38481596659900796, 0.3843606165331653, 0.38334338749066377, 0.38349038935624635, 0.3844152650771997, 0.3826802739730248, 0.3824719121822944, 0.382783972682097, 0.3823331440361137, 0.3810301933787827, 0.38150106434129244, 0.38101572193141675, 0.3808518459654262, 0.38030236679264623, 0.37950787546797693, 0.3799409495714383, 0.3793376710934517, 0.3788947618415213, 0.37946154279077154]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2.719787738112241, 2.483541318403248, 2.408735524663122, 2.372695704704816, 2.336579786250108, 2.341271523228834, 2.3638920406072663, 2.3562580962845203, 2.3035612448516534, 2.251706688569401, 2.2338849322740972, 2.2171496874221135, 2.240876846173476, 2.241208516560759, 2.198267821786493, 2.1883402915832795, 2.2008255478895666, 2.291502505363721, 2.14997693446292, 2.143006042949519, 2.1324846488432896, 2.1578405644379575, 2.1636249873876094, 2.1220435501568926, 2.1189572821631084, 2.1147071241480204, 2.117342817496999, 2.102014923109382, 2.1079522911387274, 2.1044751795347185, 2.0972160879078143, 2.0957320144491236, 2.156622696461711, 2.1008136437235745, 2.090271984604347, 2.0840487937727215, 2.0826954416981147, 2.0887729139920386, 2.083428229940383, 2.101850144089149, 2.090960294414525, 2.0888822136986187, 2.09408485019979, 2.074163161833231, 2.09055381149197, 2.110362863387392, 2.0980954560862988, 2.1120551399882674, 2.071034449623506, 2.0638978019609997, 2.0707760646227977, 2.0618106420583127, 2.1117964144256964, 2.056790138792232, 2.073316364307075, 2.0505837963818356, 2.061108404875067, 2.0728411547312118, 2.0898510614669563, 2.0811034955783323]"
4,,60,1500,0.01,16,1,350000,0,1,58.0,1.9225642933913787,"[0.5901744225595751, 0.47819109846893537, 0.4565020336045159, 0.448679325544936, 0.4431435091373248, 0.4399523586034775, 0.4357171833005726, 0.4292758924838824, 0.42533813174973184, 0.42195458735665703, 0.41788303138863325, 0.4165431979375008, 0.41426190071635777, 0.4124602030994546, 0.4082384472474074, 0.4057616953156952, 0.40298904249301326, 0.4012480825185776, 0.3980140430040849, 0.39615512531027836, 0.3936133482772061, 0.39048912764614463, 0.3876324850015151, 0.3849152210685942, 0.3827643008568348, 0.38028748753743297, 0.37967706630882037, 0.3774284827403533, 0.3760451306389947, 0.3744777721217555, 0.37350530756844413, 0.37256740912412983, 0.3721662389162259, 0.3698778464498683, 0.370186391294512, 0.36894675796357995, 0.3677833066282109, 0.36731506489280963, 0.3656749413308934, 0.36613147508384836, 0.363802842477448, 0.36323955171128625, 0.363144121490992, 0.3627114228458486, 0.36280524246713036, 0.3605335749622084, 0.36020106612107694, 0.3597723627701784, 0.35960573913195193, 0.3591405818095574, 0.359480771371442, 0.3574449281152497, 0.35801599868851847, 0.35680718707223225, 0.3569852910999559, 0.3562846567131515, 0.3565959845088486, 0.3556713702586981, 0.35559067346601403, 0.35514232872897744]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2.640549862324246, 2.50926432030566, 2.4330120797978685, 2.405372311816134, 2.438600041386887, 2.407288153027734, 2.3256386363878216, 2.312047947947851, 2.2815936964569707, 2.2804705950363924, 2.265893062724033, 2.2559476646900856, 2.225605778397235, 2.218833281566772, 2.201514243690523, 2.1803554173148867, 2.215673040511279, 2.1637886767824606, 2.166893267771129, 2.1678183560514572, 2.1144420227251075, 2.147420050349533, 2.1033592520856392, 2.0815197897075777, 2.06656045991325, 2.051763921134332, 2.0391150916638985, 2.0923414189055376, 2.0600790534087725, 2.0360293957065148, 2.0222653178877574, 2.0078404580698552, 2.0068958786158064, 2.003813350153457, 1.9986105757181172, 2.007273469928116, 2.035622162512204, 1.9855457874646554, 1.999390733533605, 1.994977900897101, 1.9827880458156018, 1.9900553102147747, 1.960859996316662, 1.9603205107517483, 1.9919126585107008, 1.9607482400627838, 1.9866678413388996, 2.012385348518212, 1.9498514166735743, 1.960015970802897, 1.9435263545041306, 1.9389003726403689, 1.9359068333687177, 1.9412783156890452, 1.931389675731896, 1.9335700022007554, 2.0046078927308373, 1.9280192175822322, 1.9225642933913787, 1.9330651661567249]"
5,,60,1500,0.01,20,1,350000,0,1,57.0,1.8552519065928132,"[0.5513350324243562, 0.46664847331678766, 0.4445873972697136, 0.4351684168363229, 0.4291217990665354, 0.422179229111753, 0.4154264069775231, 0.41165480297854823, 0.40997249473873365, 0.4067527277347369, 0.40422110323213106, 0.40206645581966793, 0.3986767632329566, 0.3954485459969594, 0.39217659359813756, 0.3897466423929247, 0.38783784872955746, 0.3857193837563197, 0.3832572656564223, 0.3781040011562853, 0.3750626174812643, 0.37206806153313726, 0.37076880356185454, 0.36759505147098476, 0.36569531325601107, 0.36426889514311767, 0.3619430257469161, 0.36169067432737756, 0.3592827137973573, 0.358596687642937, 0.3590474582125998, 0.35679494443102777, 0.3558273999354778, 0.3548083459464913, 0.35476211082731557, 0.35380300026164097, 0.3527869574534587, 0.35077934209098166, 0.35101342850770706, 0.35123874603683114, 0.3491680227283739, 0.3498653060095942, 0.348616961740021, 0.34821581967875487, 0.3476131617004036, 0.3477834250427719, 0.3459890794295531, 0.3457364332981599, 0.3454156958649301, 0.34383230191520137, 0.3441544531756996, 0.3434558145256124, 0.34475465832103014, 0.34223891387128424, 0.3424440609593677, 0.3420796615955157, 0.3420339895364566, 0.3415221543903025, 0.34125079112684625, 0.3409991441374151]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2.605025187888245, 2.4869120375490494, 2.4088386916647977, 2.3321907973177955, 2.29303814800527, 2.2825837592524243, 2.223310241989761, 2.2122598899834705, 2.21849567604299, 2.215697532874991, 2.175598516094665, 2.1828503799092336, 2.1461545493962557, 2.1570643166234245, 2.1360287044022557, 2.1989852682064175, 2.086774281875338, 2.1369584472868524, 2.06600622930634, 2.0746802842585947, 2.0217356126138246, 2.0111978113371882, 2.010571249948864, 1.9861751344084912, 1.9780108788644437, 1.9910960526490478, 1.9629094934164057, 1.9474780405804943, 1.9723420923360708, 1.9430215775105022, 1.9593480804679182, 1.9336674431375123, 1.9440179429210527, 1.952471202928303, 1.9367997266014598, 1.920956821391148, 1.9524877555225684, 1.922722828269945, 1.8990526220748343, 1.9083209202698836, 1.8970341751544249, 1.9058116970349104, 1.9510566429340535, 1.905274132031562, 1.8989071286822903, 1.8926004770745668, 1.884605028088934, 1.8786155335361447, 1.886076644500166, 1.8749816255019411, 1.882943758165344, 1.8632109844919738, 1.8792583643203375, 1.8971817697163373, 1.8653270892154812, 1.8680646413302664, 1.8646388199637136, 1.8552519065928132, 1.9057233558772106, 1.8902819542534344]"
6,,60,1000,0.001,12,1,350000,0,1,55.0,2.2854020825862946,"[0.7497095991883959, 0.5166336077451706, 0.4834912547894887, 0.47545106198106496, 0.46473132133483885, 0.4565109588418688, 0.45201327289853777, 0.4493649943385805, 0.44726876505783625, 0.445415763429233, 0.4445645489862987, 0.44354433119297026, 0.44272793207849775, 0.4420722970792225, 0.441474489569664, 0.4403282368183136, 0.43953521626336234, 0.4389610092980521, 0.43911650027547566, 0.4372531349318368, 0.43737200481551036, 0.43589046835899353, 0.43561960245881765, 0.4350564487491335, 0.43496725278241294, 0.43389739402702876, 0.4328582134417125, 0.4324438033785139, 0.432601483975138, 0.43209818380219595, 0.431957779952458, 0.4310230271305357, 0.4302513658148902, 0.4297067429338183, 0.4291617535693305, 0.42850636209760395, 0.4293852623871395, 0.42793766924313137, 0.42845049781458716, 0.42760155166898456, 0.42689427435398103, 0.42623097726276943, 0.42616202635424477, 0.42617082272257123, 0.42560719643320355, 0.42589920716626306, 0.42562287509441377, 0.42464041760989596, 0.4251588667290551, 0.42438548147678373, 0.42363706367356435, 0.42299225781645095, 0.4237382528611592, 0.4231573054620198, 0.423282317008291, 0.4227386431183134, 0.4223375657626561, 0.4224883776903152, 0.42260712461812155, 0.42206293863909583]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3.3570288731208677, 2.6312379795014156, 2.604743823163321, 2.539371785739717, 2.471825803273486, 2.444037195862282, 2.4541933079394167, 2.4222770901359865, 2.414460339840691, 2.4275334040093046, 2.405225833359265, 2.406066106711769, 2.39783755599297, 2.394093757878416, 2.3838824504481844, 2.3787891110391666, 2.4060760974934214, 2.3988221061036725, 2.3694688545604787, 2.3731071923101315, 2.365002380800887, 2.394430425142941, 2.362530486122183, 2.388830564946946, 2.352293908115693, 2.3511836350371915, 2.3424798784448524, 2.3643158629362975, 2.3414508272180496, 2.354951593350896, 2.343199143700948, 2.3380766174612737, 2.339036210197711, 2.32559760331922, 2.324548022469637, 2.327087958121143, 2.3215661966762835, 2.321239192718379, 2.3259361805979566, 2.316634936200734, 2.319047831187916, 2.309163150524806, 2.324080227844268, 2.309482890698454, 2.3069786713228377, 2.331001241409666, 2.3183160922753623, 2.317181518171137, 2.3091945645289336, 2.3001562673342164, 2.2944273824273185, 2.2920181935957213, 2.2882358770155027, 2.2970782346578305, 2.318645308649552, 2.2854020825862946, 2.296365756119131, 2.29884646600826, 2.324991516285744, 2.371860226185743]"
