,EPOCH,BATCH_SIZE,LR,N_HIDDEN_UNITS,NUM_LAYERS,train_count,min_val_loss_id,min_val_loss,min_test_mse_id,min_test_mse,train_loss_list,val_loss_list,test_mse_list
0,65,500,0.05,24,1,350000,0,1,40,1.9094887815689674,"[0.49094412190573555, 0.4233702870777675, 0.40409367923225675, 0.39270875739199773, 0.38471606169428146, 0.3789305220331464, 0.3755845410908972, 0.3722384332333292, 0.37004867592028207, 0.36839912797723495, 0.3672305619290897, 0.3648655778169632, 0.3644668529714857, 0.3624556841169085, 0.362185626242842, 0.36229465169566016, 0.3604390846831458, 0.3597909570166043, 0.36004409193992615, 0.35986801743507385, 0.35915884396859576, 0.3595509008424623, 0.3589586506145341, 0.36144659387213846, 0.3573544959085328, 0.3571608464206968, 0.35644511325018746, 0.3561349901131221, 0.3559212493896484, 0.3561063266651971, 0.3561087533405849, 0.3556837125335421, 0.3562215469138963, 0.353903609088489, 0.35568116158246993, 0.355190315246582, 0.3550988932592528, 0.35470537015369963, 0.3536101828302656, 0.3543503945214408, 0.3530886621134622, 0.355087808072567, 0.35471207227025714, 0.35345562185559953, 0.353314280467374, 0.3546306659494128, 0.3545700865983963, 0.3534788845266615, 0.35266779925142017, 0.35372072568961554, 0.7861852576902935, 0.9567189058235713, 0.9535177347489766, 0.9510218530041831, 0.9476303045238768, 0.9631183825220381, 0.955132697054318, 0.9431339194944927, 0.9431832502569472, 0.9457273984806879, 0.9481645439352308, 0.9357904544898442, 0.9300721081665584, 0.9298211707387651, 0.9324872618913651]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2.3666056483666837, 2.2367043906069974, 2.167918538742577, 2.101536118119915, 2.050017685741418, 2.0313410837898913, 2.054253797276029, 2.01182729166442, 2.0406200154539524, 2.015155814672989, 1.9689176628936373, 1.9801231034901123, 1.9959741711355574, 1.9766709784952012, 1.953376710404328, 2.0264711804127105, 1.9685029372926859, 1.9499397936092, 1.9517988315482186, 1.9542943769696202, 1.9345245050480722, 1.93076373248975, 2.222337928332988, 1.972364839843229, 1.9401266813878717, 1.9502829447402041, 1.94106413257312, 1.9533262563398774, 2.0612254234940273, 1.9241980329021564, 1.9451239886766034, 1.9401744446864135, 1.9309261079185418, 1.9722319628602454, 1.9346046063150608, 1.9345704355295588, 1.9594024214001307, 1.9135199867904225, 1.9184625259753219, 1.9299258206914809, 1.9094887815689674, 2.006766984744599, 1.932330048850975, 1.9629688927848539, 2.012608660452225, 1.975397957936462, 1.9552104188994173, 1.9184587376665665, 1.966463661994195, 2.073500834499994, 5.415179186103476, 5.229333599471494, 5.185745893839481, 5.156593007779508, 5.165328937805796, 5.189114187971126, 5.179032298632805, 5.100715760689745, 5.123636038027424, 5.11239418620989, 5.050117309359027, 5.087198048699386, 5.023232881563339, 5.1318885439543855, 5.049619504057078]"
1,65,500,0.05,28,1,350000,0,1,9,1.9909811168609215,"[0.503631871683257, 0.4258979910186359, 0.41060249779905594, 0.4013641743149076, 0.39276798376015254, 0.38611114804233826, 0.38342562543494363, 0.3757474891628538, 0.371081060724599, 0.3684004818115916, 0.36732475536210196, 0.36477574446371624, 0.4632240630047662, 0.44174991599151064, 0.43191629558801653, 0.42637454177652084, 0.42249836815255026, 0.4190215311305864, 0.41523052402905053, 0.41044983357191084, 0.4036244136946542, 0.4005429401568004, 0.39802088371344974, 0.39433146902493066, 0.3883994596345084, 0.3870044138601848, 0.38500697932073047, 0.38372560181788035, 0.38121243430035456, 0.6186395069105285, 0.9163753741979599, 0.9156642535754612, 0.9278364608969007, 0.9306931402002062, 0.9422020415748869, 0.9321055270944323, 0.930223336986133, 0.9314418756961822, 0.9307089744295393, 0.9293837608609881, 0.9232826966047287, 0.9226492593118123, 0.9253615811041424, 0.9187415449959891, 0.9123168232611247, 0.9001156755856106, 0.8954406079224178, 0.8872365494285311, 0.94440511737551, 0.995701933162553, 0.9793979630299977, 0.9521830131326403, 0.9419868232522692, 0.9623290092604501, 0.9523109464985984, 0.940486953003066, 0.9499619242123195, 0.9415716035876955, 0.9446726147617612, 0.9414083044869559, 0.9339527971403939, 0.9365869359459196, 0.9850300726720265, 0.9798243919440678, 0.9736587035655976]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2.3537896148543633, 2.2526676329651725, 2.2028152881139254, 2.12909315256417, 2.1475188325340198, 2.0810614383324193, 2.050112190767593, 2.0083158197371715, 2.0437042911575043, 1.9909811168609215, 2.004921541067981, 2.020292880234804, 2.452280890950874, 2.4273200710067413, 2.3117785148446854, 2.2957945690538546, 2.3412056020202097, 2.2888489630484523, 2.234652005734468, 2.2103720760447954, 2.200623343578377, 2.2504223342317817, 2.1986745646480195, 2.1153018038480367, 2.0993214105725193, 2.119589297361245, 2.0831995589475216, 2.06417197856856, 2.051153234954602, 4.979890957281752, 4.961248189921861, 4.959112096122025, 5.037819727087029, 5.131668533424918, 5.0791014210200665, 5.057619222035348, 5.061178682871772, 5.053538394269422, 5.093341779275837, 5.014267283031772, 5.016806257735941, 4.9970155116279855, 5.009997073129148, 4.982748307322308, 4.88952557170489, 4.861993180210319, 4.812821739990897, 4.8113996318306205, 5.682742105938138, 5.325229288525407, 5.351690255893316, 5.139752367398342, 5.080631626898366, 5.110740979879708, 5.149780303118268, 5.196822698007351, 5.116689196811132, 5.164131157268912, 5.13332617983563, 5.079481296097174, 5.210845163326597, 5.066432786463075, 5.332620122458691, 5.287965201396196, 5.239313908977456]"
2,70,500,0.01,20,1,350000,0,1,65,1.8307607969172095,"[0.5285795990484101, 0.4475782993861607, 0.4292660647204944, 0.4184790706208774, 0.4106340181827545, 0.39990439568247116, 0.3886935393725123, 0.3805981971536364, 0.37663170137575697, 0.37124056845903397, 0.3701379616771426, 0.3665238215242113, 0.3644569471478462, 0.36295712513583045, 0.36079693440880095, 0.3591471967101097, 0.3575012848632676, 0.35624286438737596, 0.3545220911502838, 0.3536430101735251, 0.3519389829465321, 0.3504513336505209, 0.3497879835111754, 0.34892886251211164, 0.34699763940913336, 0.34640958164419444, 0.34569092324801853, 0.34547524554388864, 0.3444842731314046, 0.34432446960891994, 0.34436526145253865, 0.34368652337363786, 0.34288719577448706, 0.3422452422124999, 0.34216079384088516, 0.3424643850326538, 0.3412492795075689, 0.34223858556577136, 0.34079571830374855, 0.3413358088902065, 0.3408180763891765, 0.34019643515348436, 0.3399407561123371, 0.34003126003912515, 0.3394000843805926, 0.3393052632468087, 0.3394991188389914, 0.33892406331641334, 0.33895346905503954, 0.3387102953876768, 0.33849543882267813, 0.3381544200863157, 0.3377666225177901, 0.338568965281759, 0.3376085944686617, 0.3381142539211682, 0.3374917213831629, 0.33707914669598854, 0.3375262911404882, 0.3369714540668896, 0.3373107329862458, 0.3373504743405751, 0.3366299485734531, 0.3369796814237322, 0.3367703214287758, 0.3373753135970661, 0.3372474804520607, 0.33680747589894705, 0.33654479993241176, 0.33633837768009733]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2.4819876915764922, 2.4313044178704937, 2.2665149784946714, 2.260585481821086, 2.2130029875657007, 2.1259754347868896, 2.085819651435951, 2.0557071719683613, 2.0206238093235123, 2.0658068401311906, 2.023047439587145, 2.0536475923387045, 1.9940448646190454, 1.9643359067822492, 1.9631486182310913, 1.9590955044837173, 1.932657523718498, 1.95284042581274, 1.9287604764840192, 1.9372018649875649, 1.9081337555659286, 1.9127812630796637, 1.9052483543978025, 1.9475576061234092, 1.9008581899379295, 1.8921800346420738, 1.9015023742206858, 1.8743087542050583, 1.8729880508705727, 1.9253839491004632, 1.8928586270142782, 1.9354195446390297, 1.8834555547912561, 1.8878563457314481, 1.8632922507749359, 1.8674658396636752, 1.8978156802978337, 1.8578951555586, 1.8627685742899975, 1.848976039814541, 1.8571116217347177, 1.877247727502555, 1.865373614159297, 1.8605057745330544, 1.8522860059172304, 1.8808843298226365, 1.8379955736104947, 1.8898412007230256, 1.8584885507736737, 1.8409887273661296, 1.8393457573916592, 1.836794353747718, 1.871521611724146, 1.8413127207347646, 1.9047276499657162, 1.843602998823891, 1.8801590719609975, 1.8486947510626979, 1.857638548061555, 1.8349565213037087, 1.8523984155028683, 1.8451899313594116, 1.848733196494186, 1.8490216817557568, 1.8474501289179655, 1.8307607969172095, 1.8489942669535364, 1.8384934958347114, 1.8321370662747445, 1.8365708654112758]"
3,60,100,0.003,20,1,350000,0,1,59,1.8375690658938384,"[0.49094681116938593, 0.4485719047316483, 0.4284326198228768, 0.4159917676917144, 0.41017413392237256, 0.40248131662181447, 0.39551158513767376, 0.38982788838659016, 0.38483589691775183, 0.3788702569774219, 0.373271234618766, 0.3684851888460772, 0.3653843421339989, 0.3620628539408956, 0.3596255865693092, 0.3581459490316255, 0.35559500656809123, 0.3547462024135249, 0.3535491423819746, 0.3521931071536882, 0.351220703887088, 0.3501579179721219, 0.349460858221565, 0.34844002194064005, 0.34799165635449547, 0.3469947173297405, 0.34671875081317766, 0.3462062650706087, 0.3455561549110072, 0.3450415896177292, 0.3445043806731701, 0.34404480796626635, 0.3440995618402958, 0.34349615965144975, 0.34307361247284074, 0.3428846720797675, 0.3421651887851102, 0.3419947233072349, 0.34177123510411805, 0.34148963610189303, 0.34113417066846574, 0.3407354235989707, 0.340614281224353, 0.3402685412338802, 0.33977401133094515, 0.3397461439328534, 0.33969842359423635, 0.3391823351425784, 0.3390208074918815, 0.33896662724443843, 0.33877606449808395, 0.3378988724010331, 0.3376400353567941, 0.3374776178428105, 0.33756504868609566, 0.3371978967998709, 0.33682010351760044, 0.33677081258382113, 0.3366570641739028, 0.3362638045464243]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2.4878847663183254, 2.3752655967954204, 2.2534710816133905, 2.2258065912006715, 2.1814105882925507, 2.1696275598813703, 2.153544488468735, 2.088548609915644, 2.1140682014481103, 2.0509319919581492, 2.0023467927925145, 1.9815694127275292, 1.980589642809079, 1.9604737483420276, 1.9492981410445414, 1.9652608418004167, 1.9123994284041308, 1.9359648118082347, 1.937851873717581, 1.9108048738216543, 1.905664945548294, 1.9033839524326426, 1.910892934025673, 1.9007158969745281, 1.885756560740433, 1.9030888121325475, 1.8752885675274946, 1.9425973258024052, 1.879757257649752, 1.8792792919432355, 1.8733180074482174, 1.931155299804762, 1.9912056753909306, 1.8726893402470697, 1.912675550468784, 1.88736110524037, 1.9014536214349476, 1.8751262389833687, 1.8730595678007171, 1.8767898380890002, 1.9259483463337916, 1.8685604549582426, 1.9152319837303344, 1.852587372642624, 1.8559962979142075, 1.9518113226529494, 1.8469747776601162, 1.8566958988425972, 1.885103833230933, 1.8732358121559838, 1.8654928388528302, 1.8384132210382385, 1.8446985330844703, 1.843464394868443, 1.8673118819280463, 1.8434119104840414, 1.8485050286945386, 1.840367255731676, 1.8497339582925658, 1.8375690658938384]"
